event_name,event_id,calendar_year,outrights,matchups,archived_preds
The American Express,2,2020,yes,yes,yes
Waste Management Phoenix Open,3,2020,yes,yes,yes
Farmers Insurance Open,4,2020,yes,yes,yes
AT&T Pebble Beach Pro-Am,5,2020,yes,yes,yes
Sony Open in Hawaii,6,2020,yes,yes,yes
The Genesis Invitational,7,2020,yes,yes,yes
Arnold Palmer Invitational presented by Mastercard,9,2020,yes,yes,yes
The Honda Classic,10,2020,yes,yes,yes
THE PLAYERS Championship,11,2020,yes,yes,yes
RBC Heritage,12,2020,yes,yes,yes
Wyndham Championship,13,2020,yes,yes,yes
The Masters,14,2020,yes,yes,yes
Sentry Tournament of Champions,16,2020,yes,yes,yes
Vivint Houston Open,20,2020,yes,yes,yes
Charles Schwab Challenge,21,2020,yes,yes,yes
the Memorial Tournament presented by Nationwide,23,2020,yes,yes,yes
U.S. Open,26,2020,yes,yes,yes
THE NORTHERN TRUST,27,2020,yes,yes,yes
BMW Championship,28,2020,yes,yes,yes
PGA Championship,33,2020,yes,yes,yes
Travelers Championship,34,2020,yes,yes,yes
Shriners Hospitals for Children Open,47,2020,yes,yes,yes
Sanderson Farms Championship,54,2020,yes,yes,yes
TOUR Championship,60,2020,yes,yes,yes
Mayakoba Golf Classic presented by UNIFIN,457,2020,yes,yes,yes
Safeway Open,464,2020,yes,yes,yes
World Golf Championships-Mexico Championship,473,2020,yes,yes,yes
World Golf Championships-FedEx St. Jude Invitational,476,2020,yes,yes,yes
The RSM Classic,493,2020,yes,yes,yes
THE CJ CUP @ SHADOW CREEK,521,2020,yes,yes,yes
Corales Puntacana Resort & Club Championship,522,2020,yes,yes,yes
Rocket Mortgage Classic,524,2020,yes,yes,yes
3M Open,525,2020,yes,yes,yes
ZOZO CHAMPIONSHIP @ SHERWOOD,527,2020,yes,yes,yes
Bermuda Championship,528,2020,yes,yes,yes
Workday Charity Open,533,2020,yes,yes,yes
The American Express,2,2021,yes,yes,yes
Waste Management Phoenix Open,3,2021,yes,yes,yes
Farmers Insurance Open,4,2021,yes,yes,yes
AT&T Pebble Beach Pro-Am,5,2021,yes,yes,yes
Sony Open in Hawaii,6,2021,yes,yes,yes
Sentry Tournament of Champions,16,2021,yes,yes,yes
